,Course_Group,Mode_Group,pre_q_group,ord_group,Mq_Group,Fq_Group,Mo_Group,Fo_Group,Previous qualification (grade),Admission grade,Displaced,Debtor,Gender,Scholarship holder,Age at enrollment,Marital status,Daytime/evening attendance	,Tuition fees up to date,Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),notpass_1,notpass_2,Target
0,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,122.0,127.3,1,0,1,0,20,1,1,1,0,0.0,0,0.0,0,0,Dropout
1,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,160.0,142.5,1,0,1,0,19,1,1,0,6,14.0,6,13.666666666666666,0,0,Graduate
2,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,122.0,124.8,1,0,1,0,19,1,1,0,0,0.0,0,0.0,6,6,Dropout
3,Mid2,Mid,1,0.0,High,Mid,Mid2,Mid2,122.0,119.6,1,0,0,0,20,1,1,1,6,13.428571428571429,5,12.4,0,1,Graduate
4,Mid2,Low,1,0.0,Mid,High,Mid2,Mid2,100.0,141.5,0,0,0,0,45,2,0,1,5,12.333333333333334,6,13.0,1,0,Graduate
5,Low,Low,0,,Mid,Mid,Mid2,Mid2,133.1,114.8,0,1,1,0,50,2,0,1,5,11.857142857142858,5,11.5,0,0,Graduate
6,High,High,1,0.0,Mid,High,Mid2,Mid2,142.0,128.4,1,0,0,1,18,1,1,1,7,13.3,8,14.345,0,0,Graduate
7,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,119.0,113.1,1,0,1,0,22,1,1,0,0,0.0,0,0.0,5,5,Dropout
8,High,High,1,0.0,Mid,Mid,Mid2,Mid2,137.0,129.3,0,0,0,1,21,1,1,1,6,13.875,6,14.142857142857142,0,0,Graduate
9,High,High,1,0.0,Mid,Mid,Mid2,Mid2,138.0,123.0,1,1,0,0,18,1,1,0,5,11.4,2,13.5,1,4,Dropout
10,Mid1,High,1,0.0,High,Mid,Mid2,Mid2,139.0,130.6,1,0,0,0,18,1,1,1,6,12.333333333333334,5,14.2,0,1,Graduate
11,High,High,1,0.0,Mid,High,Mid2,Mid2,136.0,119.3,1,0,0,1,18,1,1,1,7,13.214285714285714,7,13.214285714285714,1,1,Graduate
12,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,133.0,130.2,1,0,0,0,19,1,1,1,0,0.0,0,0.0,6,6,Dropout
13,Mid1,High,1,,Mid,Mid,Mid2,Mid2,110.0,111.8,1,0,0,1,21,1,1,1,6,10.571428571428571,5,11.0,0,1,Graduate
14,Mid2,High,1,0.0,High,Mid,Mid2,Mid2,149.0,137.1,1,0,0,1,18,1,1,1,4,13.25,5,12.0,1,0,Graduate
15,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,127.0,120.7,1,0,0,0,20,1,1,1,5,13.2,0,0.0,1,6,Dropout
17,High,Mid,1,0.0,Mid,Mid,Mid2,Mid1,135.0,127.3,1,0,0,0,18,1,1,1,7,13.30625,8,14.545,0,0,Graduate
18,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,137.0,136.3,1,0,0,0,20,1,1,1,4,12.5,4,12.25,1,1,Graduate
20,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,122.0,120.3,0,0,0,1,21,1,1,1,0,0.0,0,0.0,0,0,Graduate
22,High,High,1,0.0,Mid,Mid,Mid1,Mid1,142.0,125.5,1,0,0,0,18,1,1,1,7,12.857142857142858,7,12.857142857142858,1,1,Graduate
23,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,125.0,114.9,1,0,0,1,19,1,1,1,6,13.375,6,12.285714285714286,0,0,Graduate
24,High,High,1,0.0,Mid,Mid,Mid2,Mid2,126.0,123.9,0,0,0,0,19,1,1,1,6,13.296666666666669,7,14.114285714285714,1,1,Graduate
26,High,Mid,1,0.0,Mid,High,Mid2,Mid2,115.0,116.4,1,0,0,0,21,1,1,1,6,11.375,6,13.285714285714286,0,0,Graduate
28,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,122.1,1,0,0,0,20,1,1,1,5,12.0,5,12.333333333333334,0,0,Graduate
31,Mid2,Mid,1,0.0,Mid,Mid,High,High,125.0,130.0,1,0,1,0,20,1,1,1,6,12.833333333333334,4,13.4,0,2,Graduate
33,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,138.0,134.5,1,0,0,0,19,1,0,1,6,12.666666666666666,6,14.375,0,0,Graduate
34,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,130.0,131.4,0,0,1,0,34,1,0,1,5,12.4,5,13.428571428571429,0,0,Graduate
35,Low,Low,1,0.0,High,Mid,Mid2,Mid2,130.0,102.5,0,1,1,0,37,1,1,0,0,0.0,1,10.0,7,6,Dropout
36,Low,Low,0,,Low,Mid,Low,Low,133.1,128.8,1,0,1,0,43,1,1,1,0,0.0,0,0.0,5,5,Dropout
37,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,140.0,122.9,0,0,0,0,55,1,1,1,1,10.0,2,12.0,4,3,Dropout
38,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,113.9,1,0,0,0,39,4,0,1,5,11.0,5,11.6,0,0,Graduate
39,Low,Mid,1,,High,Mid,Mid2,Mid2,120.0,120.0,0,1,0,0,20,1,1,0,3,11.666666666666666,3,12.0,3,3,Dropout
40,Mid2,High,1,0.0,Mid,Mid,Mid1,Mid1,126.0,121.1,0,1,0,0,18,1,1,1,4,12.75,0,0.0,2,5,Dropout
41,Mid1,High,1,0.0,Mid,Mid,Mid1,Mid2,133.0,120.4,1,0,0,0,22,1,1,1,5,14.8,5,15.8,0,0,Graduate
42,High,High,1,0.0,Mid,Mid,Mid1,Mid1,103.0,100.6,1,0,0,0,22,1,1,1,5,13.928,7,14.342857142857142,2,1,Graduate
43,Mid2,Mid,1,0.0,Mid,High,Mid2,Mid2,120.0,121.4,0,0,0,0,20,1,1,0,4,13.0,5,13.8,2,1,Dropout
44,Low,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,109.7,0,0,0,0,29,1,0,1,0,0.0,0,0.0,5,5,Dropout
46,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,130.0,127.6,1,0,0,0,18,1,1,1,6,11.666666666666666,5,13.2,0,1,Graduate
47,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,132.0,132.4,1,0,0,1,22,1,1,1,6,13.516666666666666,7,13.771428571428572,1,1,Graduate
48,Mid2,Mid,1,,Mid,Mid,Mid2,Mid2,130.0,133.4,0,0,0,1,21,1,0,1,6,11.5,6,13.285714285714286,0,0,Graduate
49,High,High,1,0.0,Mid,High,Mid2,Mid2,139.0,126.1,0,0,0,1,19,1,1,1,5,12.333333333333334,6,12.833333333333334,1,0,Graduate
50,Mid1,Low,1,0.0,Mid,High,Mid2,Mid2,130.0,113.5,0,0,0,1,24,1,1,1,6,13.666666666666666,6,14.166666666666666,0,0,Graduate
53,Low,High,1,0.0,Mid,Mid,Low,Low,167.0,159.3,0,0,0,0,19,1,1,1,5,14.714285714285714,5,15.8,0,0,Graduate
54,Low,Low,1,0.0,High,High,Mid2,Mid2,130.0,120.0,0,0,0,0,27,1,0,1,5,10.6,5,11.0,0,0,Dropout
55,High,High,1,0.0,Mid,Mid,Mid2,Mid2,130.0,129.1,1,0,0,0,18,1,1,1,7,13.044444444444444,8,13.595,0,0,Graduate
56,Mid1,Low,0,1.0,Mid,Mid,Mid2,Mid2,130.0,130.0,0,0,0,0,39,2,1,1,0,0.0,0,0.0,6,6,Dropout
57,Low,Low,1,,Mid,Mid,Mid1,Mid1,129.0,155.3,1,0,0,0,27,1,1,1,5,13.0,10,12.9,1,1,Dropout
58,High,Mid,1,0.0,High,High,Mid2,Mid2,141.0,139.8,1,0,0,0,18,1,1,1,8,14.935,8,14.935,0,0,Graduate
60,High,High,1,0.0,Mid,Mid,Mid2,Mid2,125.0,114.9,0,0,0,0,18,1,1,1,6,13.133333333333333,7,12.221428571428572,1,1,Graduate
61,High,Mid,1,,Mid,Mid,Mid2,Mid2,130.0,131.9,0,0,0,1,21,1,1,1,6,12.0,6,12.0,0,0,Graduate
65,High,Mid,0,,Mid,Mid,Mid2,Mid2,133.1,126.0,1,0,1,0,29,4,1,1,5,11.9,5,11.0,2,3,Dropout
66,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,139.0,128.2,1,0,1,1,19,1,1,1,0,0.0,0,0.0,0,0,Graduate
67,Mid1,Mid,1,,Mid,Mid,Mid2,Mid2,130.0,130.0,1,0,1,0,23,1,1,1,6,12.571428571428571,6,12.428571428571429,0,0,Graduate
68,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,125.0,120.1,0,1,1,0,19,1,1,1,5,11.2,4,10.75,0,1,Dropout
71,High,Mid,1,0.0,Mid,Mid,Mid1,Mid1,150.0,130.8,0,0,1,0,24,1,1,1,7,11.975,8,13.75,0,0,Graduate
72,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,141.0,135.8,1,0,1,0,19,1,1,1,0,0.0,0,0.0,0,0,Dropout
73,Mid1,Mid,1,0.0,High,Mid,Mid2,Mid2,118.0,111.7,1,0,1,0,18,1,1,1,3,11.666666666666666,1,12.0,3,5,Dropout
74,Mid2,High,1,0.0,High,High,Mid2,Mid2,142.0,132.9,1,0,1,0,18,1,1,1,6,12.333333333333334,3,12.333333333333334,0,3,Graduate
75,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,120.0,115.5,1,1,1,0,18,1,1,1,3,10.333333333333334,3,10.857142857142858,2,2,Dropout
76,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,106.0,106.0,1,0,1,1,21,1,1,1,4,10.5,1,11.0,2,5,Dropout
77,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,121.0,120.3,1,1,1,1,19,1,1,1,6,13.666666666666666,6,13.333333333333334,0,0,Graduate
78,High,Mid,1,0.0,High,Mid,Mid2,Mid2,150.0,130.8,0,0,1,1,22,1,1,1,7,14.842857142857142,8,15.055555555555555,0,0,Graduate
79,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,117.0,0,0,1,0,33,2,0,1,6,12.0,6,11.666666666666666,0,0,Graduate
80,Low,High,1,0.0,Mid,Mid,Mid2,Mid2,114.0,110.2,1,0,1,0,20,1,1,1,5,12.2,5,12.2,1,1,Dropout
81,Low,Low,0,1.0,Mid,Mid,Mid1,Mid1,140.0,155.7,1,0,1,0,35,1,0,1,0,0.0,0,0.0,1,5,Dropout
82,Mid1,Low,0,1.0,Mid,Mid,Mid2,Mid1,160.0,180.4,0,1,1,0,24,1,1,1,6,12.166666666666666,10,13.3,6,2,Dropout
84,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,110.0,1,0,0,0,33,2,0,1,6,11.0,5,11.0,0,1,Graduate
85,High,Mid,1,0.0,Mid,High,Mid2,Mid2,160.0,161.0,1,0,0,1,22,1,1,1,7,13.08,7,13.08,1,1,Graduate
86,Mid1,Low,1,0.0,Mid,Mid,Mid2,Mid2,120.0,100.0,0,0,0,1,25,1,1,1,4,10.5,5,11.6,1,0,Graduate
87,Mid2,Mid,1,0.0,Mid,High,Mid2,Low,124.0,117.6,1,0,1,0,20,1,1,1,6,10.666666666666666,5,11.2,0,1,Graduate
90,High,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,100.8,0,0,1,0,24,1,1,1,0,0.0,0,0.0,7,7,Dropout
91,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,105.0,1,0,0,0,21,1,1,0,6,14.0,6,13.5,0,0,Graduate
92,Low,High,1,0.0,Mid,Mid,Mid2,Mid1,133.1,100.0,0,0,0,0,26,1,1,1,2,12.0,0,0.0,4,6,Dropout
93,Low,Low,0,,Mid,Low,Low,Low,133.1,115.5,0,0,0,0,39,2,1,1,3,12.666666666666666,0,0.0,3,6,Dropout
94,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,133.1,114.0,0,0,0,0,44,2,0,1,8,11.875,6,12.333333333333334,0,0,Graduate
96,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,135.0,124.9,1,0,0,0,18,1,1,1,6,13.666666666666666,6,13.333333333333334,0,0,Graduate
97,High,High,1,0.0,Mid,Mid,Mid2,Mid2,132.0,120.3,1,0,0,1,18,1,1,1,7,13.75,8,14.47777777777778,0,0,Graduate
99,High,High,1,0.0,Mid,Mid,Mid1,Mid1,115.0,111.5,1,1,0,0,19,1,1,0,4,11.96,0,0.0,3,7,Dropout
100,Mid2,High,1,,High,High,Mid2,Mid2,130.0,128.8,0,0,0,0,21,1,1,1,8,12.875,5,13.4,2,4,Dropout
101,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,133.1,110.0,1,0,0,0,20,1,1,1,0,0.0,0,0.0,0,0,Graduate
102,Mid2,Low,1,0.0,Mid,Mid,Mid2,Mid2,130.0,113.5,1,0,0,0,36,2,0,1,0,0.0,0,0.0,6,6,Dropout
103,Mid1,Low,0,,Mid,Mid,Mid2,Mid2,133.1,160.0,0,0,0,0,43,4,1,1,18,14.63157894736842,13,14.23076923076923,0,0,Graduate
104,Low,Mid,1,0.0,Mid,Mid,Mid2,Mid2,123.0,117.4,1,0,0,0,19,1,1,1,0,0.0,0,0.0,6,6,Dropout
105,Mid2,Mid,1,0.0,Mid,Mid,Mid1,Mid2,130.0,122.2,0,1,0,0,20,1,1,1,10,13.0,11,12.272727272727272,0,0,Graduate
106,High,High,1,0.0,Mid,High,Mid2,Mid2,122.0,118.2,1,0,0,0,19,1,1,1,0,0.0,0,0.0,6,6,Dropout
107,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid1,113.0,106.7,1,0,0,0,20,1,1,1,4,14.2,4,13.25,2,2,Dropout
108,High,High,1,0.0,Mid,Mid,Mid2,Mid2,111.0,108.2,1,0,0,0,20,1,1,1,6,13.266666666666666,5,12.3,1,2,Dropout
110,High,High,1,0.0,Mid,Mid,Mid2,Mid2,142.0,136.1,1,0,0,0,18,1,1,1,6,13.857142857142858,6,15.0,0,0,Graduate
112,Mid2,High,1,0.0,Mid,Mid,Mid2,Mid2,131.0,139.8,1,0,0,0,19,1,1,1,5,13.4,5,12.8,0,0,Graduate
113,Mid2,High,1,0.0,Mid,High,Mid2,Mid2,158.0,157.0,1,0,0,0,18,1,1,1,6,12.666666666666666,6,12.571428571428571,0,0,Graduate
114,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,122.0,131.0,1,0,0,0,18,1,1,1,6,12.516666666666666,6,12.516666666666666,1,1,Dropout
118,Mid2,High,1,0.0,Mid,High,Mid2,Mid2,140.0,137.0,0,0,0,0,18,1,1,1,5,13.142857142857142,5,11.4,0,0,Graduate
119,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,127.0,121.8,0,0,0,0,18,1,1,1,5,12.6,5,14.0,0,0,Graduate
120,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,133.1,131.0,1,0,0,0,21,1,1,1,3,11.0,2,11.0,3,4,Dropout
121,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,120.0,118.6,1,0,0,0,19,1,1,1,5,10.8,4,11.25,0,1,Graduate
122,Mid1,High,1,0.0,Mid,Mid,Mid1,Mid2,137.0,122.3,0,0,0,0,19,1,1,1,0,0.0,0,0.0,0,0,Dropout
123,Mid1,High,1,0.0,High,High,Mid2,Mid2,131.0,127.9,0,0,0,1,19,1,1,1,5,12.8,5,14.2,0,0,Graduate
124,Mid2,High,1,0.0,Mid,High,Mid2,Mid2,130.0,121.3,1,0,0,0,19,1,1,1,6,14.166666666666666,6,12.2,0,0,Graduate
125,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,122.0,117.1,1,0,0,0,19,1,1,1,5,12.1,0,0.0,2,7,Dropout
126,Mid2,Mid,1,,Mid,Mid,Mid2,Mid2,160.0,160.0,1,0,0,0,20,1,1,1,6,14.166666666666666,5,13.77777777777778,0,1,Graduate
128,High,Mid,1,0.0,Mid,Low,Mid2,Mid2,131.0,122.6,1,0,0,0,18,1,1,1,6,13.0,6,13.666666666666666,0,0,Graduate
129,High,Mid,1,0.0,Mid,Mid,Mid1,Mid2,132.0,128.0,1,0,0,0,19,1,1,1,7,13.467142857142855,8,15.011111111111113,0,0,Graduate
130,High,High,1,0.0,Mid,Mid,Mid2,Mid2,138.0,124.9,1,0,0,1,18,1,1,1,7,13.2375,7,13.742857142857144,0,1,Dropout
131,Mid2,Mid,1,0.0,Mid,Mid,Mid2,Mid2,130.0,123.7,1,0,0,0,18,1,1,1,6,12.333333333333334,6,13.0,0,0,Graduate
132,Mid1,High,1,0.0,Mid,Mid,Mid2,Mid2,126.0,120.1,1,0,0,0,19,1,1,1,5,12.4,5,14.6,0,0,Graduate
133,High,Mid,1,0.0,Mid,Mid,Mid2,Mid2,148.0,131.7,1,0,0,0,19,1,1,1,5,14.0,0,0.0,2,7,Dropout
134,High,Mid,1,0.0,High,Mid,Mid2,Mid2,130.0,133.2,0,0,0,0,20,1,1,1,9,11.666666666666666,7,11.714285714285714,0,0,Graduate
135,Mid1,High,1,0.0,Mid,High,Mid2,Mid2,117.0,109.3,0,1,0,1,19,1,1,0,5,12.0,4,12.5,1,2,Dropout
136,Mid1,Mid,1,0.0,Mid,Mid,Mid2,Mid2,120.0,113.0,1,0,0,0,20,1,1,1,4,12.2,4,11.5,1,1,Graduate
137,Mid2,High,1,0.0,Mid,Mid,High,High,153.0,157.9,0,1,0,1,18,1,1,1,6,14.833333333333334,6,14.833333333333334,0,0,Graduate
